Date,IDRA,GILD
2008-04-04,12.43,24.895856542806
2008-04-07,12.33,24.757942533304
2008-04-08,12.91,24.672340734303
2008-04-09,13.22,24.268110016798
2008-04-10,12.97,24.772209499805
2008-04-11,13.26,24.082639452296
2008-04-14,13.2,24.149218629297
2008-04-15,13.05,24.287132638799
2008-04-16,13.06,24.634295490303
2008-04-17,12.91,23.759254878292
2008-04-18,12.88,24.615272868303
2008-04-21,12.95,24.776965155305
2008-04-22,12.21,24.201530839798
2008-04-23,12.75,24.016060275295
2008-04-24,12.9,24.263354361298
2008-04-25,13.15,24.444069270301
2008-04-28,13.48,24.981458341807
2008-04-29,13.78,24.591494590802
2008-04-30,13.8,24.615272868303
2008-05-01,14.55,25.20497415031
2008-05-02,14.76,25.504580446814
2008-05-05,14.75,25.523603068814
2008-05-06,14.57,25.747118877317
2008-05-07,14.7,25.314354226811
2008-05-08,14.64,25.732851910816
2008-05-09,14.54,25.509336102314
2008-05-12,14.81,25.908811164319
2008-05-13,15.0,25.428489958813
2008-05-14,14.96,24.995725308307
2008-05-15,14.84,25.18119587281
2008-05-16,15.02,25.24777504981
2008-05-19,14.99,25.309598571311
2008-05-20,15.29,25.618716178815
2008-05-21,14.96,24.957680064307
2008-05-22,15.01,25.533114379814
2008-05-23,15.0,25.19546283931
2008-05-27,14.82,25.514091757814
2008-05-28,14.83,25.476046513813
2008-05-29,14.94,26.322553192824
2008-05-30,15.0,26.308286226324
2008-06-02,14.93,25.956367719319
2008-06-03,14.58,26.298774915323
2008-06-04,14.21,26.745806532329
2008-06-05,13.69,26.936032752331
2008-06-06,14.11,26.04196951832
2008-06-09,13.71,25.823209365318
2008-06-10,13.87,25.770897154817
2008-06-11,13.93,25.276308982811
2008-06-12,14.66,25.076571451808
2008-06-13,14.99,25.747118877317
2008-06-16,14.78,25.837476331818
2008-06-17,14.94,25.466535202813
2008-06-18,14.9,25.418978647813
2008-06-19,14.62,26.379621058824
2008-06-20,14.94,26.02294689632
2008-06-23,14.6,26.04196951832
2008-06-24,14.44,25.923078130819
2008-06-25,14.71,25.908811164319
2008-06-26,14.48,25.17644021731
2008-06-27,15.41,25.138394973309
2008-06-30,14.61,25.18119587281
2008-07-01,14.5,24.810254743805
2008-07-02,13.63,24.3917570598
2008-07-03,13.03,24.296643949799
2008-07-07,13.02,24.572471968802
2008-07-08,14.72,25.457023891813
2008-07-09,14.48,25.594937901315
2008-07-10,15.01,25.961123374819
2008-07-11,15.36,25.537870035314
2008-07-14,14.83,25.466535202813
2008-07-15,13.9,26.156105250322
2008-07-16,14.77,26.065747795821
2008-07-17,14.81,26.346331470324
2008-07-18,14.75,23.55476169179
2008-07-21,14.71,23.60707390229
2008-07-22,14.95,24.301399605299
2008-07-23,14.76,25.062304485308
2008-07-24,15.04,25.052793174308
2008-07-25,14.99,25.923078130819
2008-07-28,14.61,25.048037518808
2008-07-29,14.9,25.671028389316
2008-07-30,15.0,25.637738800815
2008-07-31,14.79,25.671028389316
2008-08-01,14.98,25.533114379814
2008-08-04,15.0,25.604449212315
2008-08-05,14.83,26.308286226324
2008-08-06,14.88,26.645937766828
2008-08-07,14.84,26.175127872322
2008-08-08,14.85,26.997856273832
2008-08-11,14.8,26.83616398683
2008-08-12,14.5,27.154792905334
2008-08-13,14.82,27.016878895832
2008-08-14,14.71,26.959811029832
2008-08-15,14.6,26.755317843329
2008-08-18,14.31,26.531802034826
2008-08-19,14.15,25.942100752819
